lineID,ID,Site,Year,Age,Sex,Year_Status,Survival
1,131,Webb,2014,A,Male,Harvested,0
2,143,Webb,2014,A,Male,Harvested,0
3,46113,Webb,2017,A,Male,Harvested,0
4,60011,Webb,2015,A,Male,Harvested,0
5,60117,Webb,2015,A,Male,Harvested,0
6,60121,Webb,2015,A,Male,Harvested,0
7,60123,Webb,2015,A,Male,Harvested,0
8,60125,Webb,2015,A,Male,Harvested,0
9,60192,Webb,2015,A,Male,Harvested,0
10,60385,Webb,2015,A,Male,Harvested,0
11,60387,Webb,2015,A,Male,Harvested,0
12,60744,Webb,2016,A,Male,Harvested,0
13,60760,Webb,2016,A,Male,Harvested,0
14,60916,Webb,2016,A,Male,Harvested,0
15,139,Webb,2014,A,Male,Predated,0
16,147,Webb,2014,A,Male,Predated,0
17,46108,Webb,2017,A,Male,Predated,0
18,60750,Webb,2016,A,Male,Predated,0
19,60766,Webb,2016,A,Male,Predated,0
20,60769,Webb,2016,A,Male,Predated,0
21,61237,Webb,2018,A,Male,Predated,0
22,46238,GA,2017,A,Male,Harvested,0
23,46256,GA,2017,A,Male,Harvested,0
24,46257,GA,2017,A,Male,Harvested,0
25,46562,GA,2019,A,Male,Harvested,0
26,46594,GA,2019,A,Male,Harvested,0
27,46603,GA,2019,A,Male,Harvested,0
28,46616,GA,2019,A,Male,Harvested,0
29,46619,GA,2019,A,Male,Harvested,0
30,47467,GA,2021,A,Male,Harvested,0
31,61116,GA,2018,A,Male,Harvested,0
32,9514,GA,2022,A,Male,Harvested,0
33,10269,GA,2022,A,Male,Harvested,0
34,11198,GA,2023,A,Male,Harvested,0
35,46231,GA,2017,A,Male,Predated,0
36,46578,GA,2019,A,Male,Predated,0
37,47466,GA,2021,A,Male,Predated,0
38,61070,GA,2018,A,Male,Predated,0
39,61098,GA,2018,A,Male,Predated,0
40,61100,GA,2018,A,Male,Predated,0
41,61110,GA,2018,A,Male,Predated,0
42,11234,GA,2023,A,Male,Predated,0
43,113,Webb,2014,A,Male,Live,1
44,128,Webb,2014,A,Male,Live,1
45,129,Webb,2014,A,Male,Live,1
46,133,Webb,2014,A,Male,Live,1
47,135,Webb,2014,A,Male,Live,1
48,142,Webb,2014,A,Male,Live,1
49,144,Webb,2014,A,Male,Live,1
50,145,Webb,2014,A,Male,Live,1
51,149,Webb,2014,A,Male,Live,1
52,150,Webb,2014,A,Male,Live,1
53,46106,Webb,2017,A,Male,Live,1
54,46115,Webb,2017,A,Male,Live,1
55,60105,Webb,2015,A,Male,Live,1
56,60109,Webb,2015,A,Male,Live,1
57,60113,Webb,2015,A,Male,Live,1
58,60119,Webb,2015,A,Male,Live,1
59,60129,Webb,2015,A,Male,Live,1
60,60131,Webb,2015,A,Male,Live,1
61,60383,Webb,2015,A,Male,Live,1
62,60384,Webb,2015,A,Male,Live,1
63,60747,Webb,2016,A,Male,Live,1
64,60751,Webb,2016,A,Male,Live,1
65,60761,Webb,2016,A,Male,Live,1
66,60772,Webb,2016,A,Male,Live,1
67,11503,GA,2023,A,Male,Predated,0
68,11507,GA,2023,A,Male,Predated,0
69,46226,GA,2017,A,Male,Live,1
70,46612,GA,2019,A,Male,Live,1
71,46618,GA,2019,A,Male,Live,1
72,46967,GA,2021,A,Male,Live,1
73,47432,GA,2021,A,Male,Live,1
74,47459,GA,2021,A,Male,Live,1
75,47476,GA,2021,A,Male,Live,1
76,47485,GA,2021,A,Male,Live,1
77,61057,GA,2018,A,Male,Live,1
78,61058,GA,2018,A,Male,Live,1
79,60773,Webb,2016,A,Male,Live,1
80,61143,Webb,2018,A,Male,Live,1
81,61146,Webb,2018,A,Male,Live,1
82,61224,Webb,2018,A,Male,Live,1
83,61232,Webb,2018,A,Male,Live,1
84,61066,GA,2018,A,Male,Live,1
85,61074,GA,2018,A,Male,Live,1
86,61081,GA,2018,A,Male,Live,1
87,61082,GA,2018,A,Male,Live,1
88,61086,GA,2018,A,Male,Live,1
89,61087,GA,2018,A,Male,Live,1
90,61272,GA,2020,A,Male,Live,1
91,61277,GA,2020,A,Male,Live,1
92,61285,GA,2020,A,Male,Live,1
93,61298,GA,2020,A,Male,Live,1
94,9517,GA,2022,A,Male,Live,1
95,9518,GA,2022,A,Male,Live,1
96,9521,GA,2022,A,Male,Live,1
97,9524,GA,2022,A,Male,Live,1
98,9529,GA,2022,A,Male,Live,1
99,9532,GA,2022,A,Male,Live,1
100,9535,GA,2022,A,Male,Live,1
101,10274,GA,2022,A,Male,Live,1
102,10299,GA,2023,A,Male,Live,1
103,11196,GA,2023,A,Male,Live,1
104,11496,GA,2023,A,Male,Live,1
105,11510,GA,2023,A,Male,Live,1
106,11511,GA,2023,A,Male,Live,1
